Order_ID,Gender_Category,Product_Line,Product_Name,Size,Units_Sold,MRP,Discount_Applied,Revenue,Order_Date,Sales_Channel,Region,Profit
2050,Men,Running,Air Zoom,L,1.0,6110.030000000001,0.57,0.0,27-10-2024,Retail,Kolkata,682.12
2051,Women,Basketball,Air Jordan,XL,2.0,6110.030000000001,0.37,0.0,2024-01-05,Retail,Delhi,3135.98
2052,Men,Training,Flex Trainer,10,3.0,9155.96,0.0,0.0,2024-10-08,Retail,Pune,2184.8
2053,Men,Lifestyle,Air Force 1,XL,3.0,6009.58,0.0,0.0,2024/10/02,Online,Delhi,3384.92
2055,Men,Basketball,Kyrie Flytrap,L,2.0,6110.030000000001,0.0,0.0,26-10-2024,Online,hyderbad,-1078.76
2056,Men,Running,React Infinity,L,3.0,6110.030000000001,0.0,0.0,2024-05-31,Retail,Bangalore,-244.44
2048,Men,Lifestyle,Waffle One,M,3.0,6216.29,0.94,1118.93,2024/09/14,Online,Mumbai,-642.02
2058,Women,Training,Flex Trainer,11,2.0,4985.92,0.0,0.0,2024/09/14,Online,Kolkata,361.54
2060,Men,Lifestyle,Waffle One,L,2.0,7979.26,0.0,0.0,2024-07-11,Online,bengaluru,2821.59
2061,Women,Basketball,LeBron 20,L,2.0,6110.030000000001,0.0,0.0,10-09-2024,Online,Mumbai,-501.68
2062,Men,Basketball,Air Jordan,Unknown,2.0,6110.030000000001,0.0,0.0,06-06-2025,Online,Bangalore,1823.91
2063,Women,Basketball,Air Jordan,M,1.0,9751.0,0.16,8190.84,06-09-2024,Retail,Pune,1130.31
2064,Kids,Running,React Infinity,L,2.0,7557.71,0.0,0.0,2025/03/02,Online,Bangalore,3277.44
2065,Women,Lifestyle,Waffle One,10,2.0,6110.030000000001,0.78,0.0,2024-02-11,Retail,Hyd,21.58
2067,Kids,Basketball,LeBron 20,L,4.0,3588.38,0.0,0.0,06-05-2025,Online,Kolkata,161.5
2068,Men,Running,Free RN,Unknown,4.0,2553.29,0.0,0.0,2024/12/05,Retail,Mumbai,984.9
2069,Women,Training,SuperRep Go,Unknown,2.0,7502.24,0.0,0.0,2025-07-14,Online,Pune,3554.58
2070,Kids,Running,React Infinity,L,2.0,6110.030000000001,0.0,0.0,2025-07-14,Retail,Mumbai,1112.43
2071,Kids,Lifestyle,Blazer Mid,M,3.0,7849.81,0.49,12010.21,2025/01/12,Retail,Pune,-882.96
2072,Men,Training,Flex Trainer,Unknown,3.0,6110.030000000001,0.0,0.0,2025/01/12,Retail,Pune,3639.2
2073,Women,Lifestyle,Blazer Mid,12,4.0,6110.030000000001,0.85,0.0,03-11-2024,Online,Hyd,443.86
2075,Kids,Basketball,Air Jordan,L,4.0,4251.74,0.0,0.0,2025/07/14,Online,Pune,2345.35
2076,Women,Training,ZoomX Invincible,11,2.0,6110.030000000001,0.0,0.0,13-10-2024,Retail,bengaluru,2011.25
2077,Men,Training,ZoomX Invincible,L,2.0,6110.030000000001,0.0,0.0,2023-11-21,Online,Pune,3332.66
2080,Men,Lifestyle,Blazer Mid,L,2.0,6110.030000000001,0.0,0.0,2025-03-31,Online,Bangalore,-1005.89
2081,Men,Training,ZoomX Invincible,L,2.0,6110.030000000001,0.0,0.0,2025-03-31,Online,Mumbai,2810.49
2083,Men,Running,Free RN,Unknown,2.0,9291.74,0.0,0.0,14-10-2024,Retail,Delhi,-981.21
2084,Men,Training,Metcon 7,M,2.0,6110.030000000001,0.0,0.0,2023-12-24,Online,Mumbai,408.39
2085,Men,Basketball,Kyrie Flytrap,Unknown,2.0,7561.85,0.0,0.0,2024/12/17,Retail,Kolkata,98.72
2087,Kids,Basketball,Zoom Freak,Unknown,2.0,4656.28,0.0,0.0,2024/11/01,Online,Kolkata,3777.5
2088,Women,Running,Free RN,XL,4.0,6110.030000000001,0.0,0.0,26-04-2025,Online,Bangalore,2702.93
2089,Women,Training,Flex Trainer,L,2.0,6874.77,0.6,5499.82,02-12-2024,Online,Mumbai,-1076.66
2090,Kids,Lifestyle,Dunk Low,8,2.0,6110.030000000001,0.0,0.0,02-12-2024,Retail,Bangalore,163.15
2091,Kids,Running,Air Zoom,11,2.0,9246.88,0.0,0.0,02-12-2024,Retail,Mumbai,1917.55
2092,Kids,Basketball,Zoom Freak,XL,2.0,6110.030000000001,1.13,0.0,02-12-2024,Online,Delhi,207.2
2094,Kids,Training,Flex Trainer,10,1.0,4276.36,0.0,0.0,10-11-2024,Retail,Delhi,2974.58
2095,Men,Lifestyle,Waffle One,M,2.0,6110.030000000001,0.0,0.0,16-10-2024,Online,Delhi,880.57
2096,Men,Running,Pegasus Turbo,XL,2.0,6110.030000000001,0.0,0.0,24-12-2024,Online,Kolkata,288.66
2097,Women,Training,ZoomX Invincible,XL,2.0,7978.89,0.0,0.0,24-12-2024,Online,Bangalore,769.05
2098,Men,Training,ZoomX Invincible,L,2.0,5690.69,0.69,0.0,2024-01-24,Online,hyderbad,98.3
2099,Kids,Soccer,Mercurial Superfly,M,2.0,6110.030000000001,0.32,0.0,01-02-2025,Retail,Mumbai,360.97
2100,Kids,Soccer,Phantom GT,8,1.0,5937.52,0.0,0.0,2025-07-11,Retail,Mumbai,2287.57
2101,Kids,Running,Free RN,XL,2.0,2010.07,0.0,0.0,2025/07/03,Online,Hyderabad,3398.01
2104,Men,Basketball,Kyrie Flytrap,Unknown,2.0,6110.030000000001,0.0,0.0,2025/01/08,Retail,Delhi,2905.91
2105,Kids,Training,Metcon 7,Unknown,2.0,5744.7,0.0,0.0,17-11-2024,Retail,Mumbai,1716.04
2106,Women,Running,Free RN,Unknown,2.0,6110.030000000001,0.0,0.0,17-11-2024,Retail,bengaluru,76.95
2107,Women,Running,React Infinity,M,4.0,6110.030000000001,0.0,0.0,2024/08/30,Online,Hyd,-184.69
2108,Kids,Lifestyle,Air Force 1,XL,2.0,6110.030000000001,0.27,0.0,15-11-2024,Retail,Mumbai,-338.77
2110,Kids,Running,Air Zoom,12,1.0,6110.030000000001,0.42,0.0,2024-12-25,Retail,Pune,-259.29
2111,Men,Lifestyle,Waffle One,Unknown,2.0,6110.030000000001,1.14,0.0,2024/11/21,Retail,bengaluru,1326.67
2112,Women,Training,Metcon 7,Unknown,2.0,2201.54,0.0,0.0,2024/11/21,Retail,bengaluru,697.42
2113,Women,Basketball,Air Jordan,XL,2.0,3939.34,0.0,0.0,2023-12-19,Retail,Pune,2918.93
2114,Women,Training,Flex Trainer,XL,1.0,3167.33,0.53,1488.65,2023-12-19,Retail,Pune,1567.37
2115,Kids,Soccer,Phantom GT,6,2.0,7607.45,0.0,0.0,2023-12-19,Online,Kolkata,1969.03
2116,Women,Basketball,LeBron 20,Unknown,2.0,4038.32,1.13,0.0,2024/08/27,Online,Hyderabad,2088.55
2118,Kids,Basketball,Zoom Freak,XL,2.0,8426.54,0.0,0.0,2023-09-21,Online,hyderbad,2696.85
2120,Men,Soccer,Phantom GT,12,2.0,6110.030000000001,0.0,0.0,14-12-2024,Retail,Pune,-328.0
2123,Men,Running,Air Zoom,L,2.0,6110.030000000001,0.0,0.0,15-09-2024,Retail,Hyd,2195.52
2124,Kids,Basketball,Kyrie Flytrap,L,2.0,6436.11,1.24,0.0,04-07-2025,Online,Kolkata,432.04
2125,Women,Soccer,Tiempo Legend,M,2.0,6110.030000000001,0.0,0.0,10-12-2024,Retail,Hyderabad,1051.22
2128,Women,Basketball,LeBron 20,L,2.0,8750.71,0.0,0.0,2023-08-19,Retail,Bangalore,1411.29
2129,Men,Basketball,Zoom Freak,9,2.0,6110.030000000001,0.0,0.0,2023-08-19,Retail,Delhi,841.4
2130,Men,Soccer,Premier III,10,3.0,6110.030000000001,0.24,0.0,14-09-2024,Online,bengaluru,2962.75
2131,Kids,Running,Free RN,XL,2.0,5561.82,0.0,0.0,14-09-2024,Retail,Mumbai,2227.48
2132,Men,Running,Free RN,L,2.0,6110.030000000001,0.0,0.0,14-09-2024,Online,Delhi,3882.22
2133,Men,Training,Metcon 7,XL,2.0,6789.53,0.0,0.0,2024/10/10,Retail,Pune,-166.81
2134,Men,Training,ZoomX Invincible,M,2.0,4738.62,0.0,0.0,06-08-2024,Online,Hyderabad,1009.28
2135,Men,Basketball,Zoom Freak,L,2.0,9106.61,0.74,4735.44,2024-11-03,Retail,hyderbad,2422.38
2136,Kids,Training,ZoomX Invincible,L,1.0,6110.030000000001,0.0,0.0,2024-09-15,Online,Pune,3672.24
2138,Men,Running,Pegasus Turbo,11,2.0,8055.2,0.0,0.0,14-06-2025,Online,Mumbai,1840.09
2139,Women,Basketball,Air Jordan,M,2.0,6110.030000000001,0.0,0.0,2025/06/19,Retail,Mumbai,-334.52
2140,Men,Basketball,Zoom Freak,M,2.0,6765.74,0.0,0.0,28-04-2025,Online,Bangalore,-875.45
2141,Kids,Soccer,Tiempo Legend,Unknown,2.0,6110.030000000001,1.1,0.0,2023-11-22,Retail,Kolkata,-1032.47
2142,Kids,Soccer,Mercurial Superfly,Unknown,2.0,6110.030000000001,0.0,0.0,2024-10-03,Retail,Kolkata,-995.59
2144,Women,Lifestyle,Waffle One,Unknown,4.0,6110.030000000001,0.0,0.0,30-03-2025,Online,Kolkata,2385.1
2146,Kids,Basketball,Air Jordan,XL,2.0,6110.030000000001,1.12,0.0,2025/02/15,Retail,Mumbai,-908.85
2148,Men,Basketball,Kyrie Flytrap,Unknown,2.0,6110.030000000001,0.0,0.0,2025/06/19,Online,Hyd,520.55
2149,Women,Running,Pegasus Turbo,Unknown,2.0,6110.030000000001,0.0,0.0,2025/05/20,Online,Kolkata,-595.69
2150,Women,Basketball,LeBron 20,M,2.0,3313.21,0.48,3445.74,06-07-2025,Online,bengaluru,3221.62
2151,Kids,Soccer,Tiempo Legend,L,4.0,5619.75,0.0,0.0,2025-05-27,Online,bengaluru,2000.85
2152,Women,Running,Free RN,8,2.0,6110.030000000001,0.0,0.0,2025-05-27,Online,bengaluru,3819.41
2154,Kids,Lifestyle,Blazer Mid,XL,2.0,2963.16,0.0,0.0,2025-04-01,Online,Bangalore,2381.85
2155,Men,Soccer,Phantom GT,Unknown,3.0,6110.030000000001,0.0,0.0,2025-04-01,Online,hyderbad,1475.15
2157,Kids,Soccer,Premier III,Unknown,1.0,6110.030000000001,0.0,0.0,2025/04/29,Online,Delhi,-701.01
2159,Women,Training,ZoomX Invincible,XL,2.0,3987.65,0.0,0.0,28-01-2025,Retail,Delhi,2781.72
2160,Kids,Running,Air Zoom,XL,2.0,6110.030000000001,0.0,0.0,2025-03-01,Retail,Mumbai,3744.91
2162,Men,Lifestyle,Blazer Mid,8,2.0,7662.11,0.0,0.0,2025-03-01,Online,Mumbai,2398.55
2163,Men,Lifestyle,Dunk Low,7,2.0,6110.030000000001,1.24,0.0,2025/03/06,Retail,Hyderabad,3344.98
2165,Kids,Training,SuperRep Go,L,4.0,4577.65,0.0,0.0,2024/11/11,Retail,Kolkata,2460.19
2166,Women,Lifestyle,Air Force 1,M,2.0,7312.38,0.0,0.0,01-02-2025,Online,Mumbai,3364.05
2167,Men,Running,React Infinity,XL,3.0,3055.79,0.0,0.0,01-02-2025,Retail,Mumbai,1259.58
2168,Women,Running,Pegasus Turbo,Unknown,2.0,6110.030000000001,0.85,0.0,2024-08-01,Retail,Kolkata,3011.49
2169,Kids,Training,Flex Trainer,Unknown,4.0,4046.05,0.01,16022.36,2024/12/14,Retail,Delhi,1057.58
2022,Women,Lifestyle,Air Force 1,L,2.0,9378.52,1.06,0.0,2023-10-29,Retail,Mumbai,128.92
2172,Women,Training,ZoomX Invincible,M,2.0,7988.99,1.2,0.0,2024/12/17,Online,bengaluru,-909.86
2174,Women,Soccer,Phantom GT,L,2.0,3883.92,0.0,0.0,29-03-2025,Retail,Pune,428.5
2175,Women,Lifestyle,Blazer Mid,Unknown,2.0,6110.030000000001,1.16,0.0,29-03-2025,Online,Pune,2457.78
2176,Men,Soccer,Mercurial Superfly,Unknown,4.0,6110.030000000001,0.0,0.0,04-01-2025,Online,bengaluru,3908.28
2177,Women,Lifestyle,Waffle One,XL,2.0,6110.030000000001,0.0,0.0,2025-06-27,Retail,Mumbai,885.37
2178,Men,Running,Free RN,Unknown,1.0,6110.030000000001,0.0,0.0,28-10-2024,Retail,Bangalore,-983.37
2179,Women,Training,ZoomX Invincible,M,3.0,6110.030000000001,0.0,0.0,2024-01-26,Retail,Pune,3135.92
2180,Women,Basketball,LeBron 20,XL,2.0,6110.030000000001,0.0,0.0,2024-05-15,Online,Pune,2189.84
2181,Women,Lifestyle,Air Force 1,XL,2.0,6110.030000000001,0.0,0.0,2025/01/06,Retail,Delhi,419.58
2182,Kids,Basketball,Zoom Freak,11,2.0,7214.55,0.0,0.0,2025/01/06,Online,Mumbai,-662.77
2183,Kids,Lifestyle,Waffle One,M,2.0,5389.56,0.0,0.0,2025/01/06,Online,Pune,2927.93
2184,Men,Soccer,Mercurial Superfly,XL,4.0,6110.030000000001,0.0,0.0,2025/01/06,Retail,Hyderabad,1980.73
2185,Women,Training,ZoomX Invincible,XL,4.0,4207.44,0.59,6900.2,2025/06/08,Online,Kolkata,-615.48
2187,Men,Running,React Infinity,L,2.0,7795.32,0.0,0.0,09-11-2024,Online,Mumbai,2402.99
2189,Men,Training,SuperRep Go,L,3.0,6110.030000000001,0.9,0.0,2024/10/02,Online,Hyd,3628.46
2190,Kids,Basketball,Kyrie Flytrap,L,2.0,4280.01,0.66,0.0,2024/10/02,Online,Delhi,1949.77
2191,Men,Lifestyle,Air Force 1,8,3.0,6110.030000000001,0.0,0.0,2024/09/28,Retail,Pune,-1032.88
2194,Men,Soccer,Mercurial Superfly,M,2.0,6196.01,0.0,0.0,27-10-2024,Online,hyderbad,926.03
2195,Women,Training,SuperRep Go,Unknown,2.0,6110.030000000001,0.51,0.0,27-10-2024,Online,Delhi,1041.81
2196,Kids,Soccer,Premier III,L,2.0,2708.73,0.0,0.0,2025-06-30,Online,Delhi,925.63
2197,Kids,Training,ZoomX Invincible,L,3.0,6110.030000000001,0.0,0.0,2024-10-06,Online,bengaluru,-418.5
2198,Men,Training,SuperRep Go,7,4.0,6110.030000000001,0.65,0.0,2025/01/05,Online,Pune,-169.33
2199,Men,Soccer,Premier III,M,1.0,6110.030000000001,0.0,0.0,2025/01/05,Retail,Kolkata,389.94
2200,Men,Basketball,Air Jordan,9,3.0,5570.72,0.0,0.0,2025/01/05,Online,Delhi,1513.76
2201,Women,Training,SuperRep Go,11,2.0,6110.030000000001,0.0,0.0,2024-05-10,Online,Mumbai,1403.56
2204,Men,Basketball,LeBron 20,7,2.0,7660.41,0.0,0.0,2025/05/17,Online,Delhi,2076.75
2206,Men,Training,Flex Trainer,M,2.0,6110.030000000001,0.0,0.0,24-04-2025,Online,Delhi,-524.85
2207,Women,Running,Pegasus Turbo,XL,2.0,6110.030000000001,0.0,0.0,24-04-2025,Online,Hyderabad,2101.41
2208,Women,Basketball,LeBron 20,M,2.0,5172.62,0.97,0.0,24-04-2025,Retail,hyderbad,-1074.04
2209,Kids,Training,SuperRep Go,Unknown,2.0,6110.030000000001,0.0,0.0,2024/09/01,Retail,Hyd,1956.7
2210,Men,Lifestyle,Blazer Mid,XL,2.0,6110.030000000001,0.0,0.0,09-08-2024,Retail,Kolkata,701.02
2000,Kids,Training,Metcon 7,Unknown,4.0,6110.030000000001,0.94,0.0,2024-02-27,Retail,bengaluru,2372.82
2212,Women,Lifestyle,Blazer Mid,L,2.0,7670.82,0.0,0.0,2024/09/23,Online,Kolkata,-87.95
2213,Women,Running,Air Zoom,9,2.0,5714.92,0.0,0.0,2024/09/23,Online,Delhi,3741.14
2214,Men,Basketball,LeBron 20,XL,2.0,5016.03,0.0,0.0,2024/09/23,Retail,Mumbai,1446.0
2215,Men,Basketball,Zoom Freak,XL,3.0,6110.030000000001,0.36,0.0,2024/12/16,Online,Kolkata,3254.06
2216,Women,Lifestyle,Air Force 1,M,1.0,3111.62,0.0,0.0,2024/12/16,Online,Hyd,2617.56
2217,Women,Lifestyle,Waffle One,L,2.0,6110.030000000001,0.0,0.0,2025/04/15,Retail,Delhi,2190.84
2218,Kids,Soccer,Premier III,6,2.0,6110.030000000001,0.0,0.0,2025/04/15,Online,Bangalore,1440.02
2220,Kids,Training,SuperRep Go,M,2.0,6110.030000000001,0.0,0.0,2024/09/09,Online,Kolkata,890.14
2221,Kids,Lifestyle,Waffle One,L,2.0,3375.97,0.0,0.0,2024-01-06,Retail,Mumbai,-297.05
2222,Men,Training,ZoomX Invincible,XL,2.0,8897.19,0.11,15837.0,2024-12-21,Retail,Mumbai,2821.69
2225,Kids,Basketball,Kyrie Flytrap,11,2.0,6110.030000000001,0.0,0.0,24-09-2024,Retail,Hyd,1136.63
2226,Women,Basketball,Zoom Freak,Unknown,2.0,6110.030000000001,0.31,0.0,2025/06/28,Online,Delhi,-131.04
2021,Men,Running,React Infinity,XL,2.0,2180.71,0.82,0.0,2025/06/28,Retail,Hyd,2277.63
2228,Kids,Basketball,Zoom Freak,Unknown,2.0,9382.15,0.0,0.0,2024/08/22,Online,Kolkata,-127.34
2229,Men,Running,Air Zoom,XL,2.0,7143.23,0.0,0.0,2025/03/26,Retail,Mumbai,3284.36
2230,Kids,Lifestyle,Dunk Low,10,2.0,6110.030000000001,0.0,0.0,2025/03/26,Online,bengaluru,781.56
2232,Women,Running,Free RN,XL,2.0,2149.28,0.32,0.0,2024/11/17,Online,Kolkata,2409.87
2234,Men,Training,Flex Trainer,Unknown,4.0,6189.1,1.12,-2970.77,2024-12-21,Retail,bengaluru,2085.62
2042,Men,Basketball,Kyrie Flytrap,10,1.0,5254.47,0.0,0.0,26-02-2025,Retail,bengaluru,2459.63
2236,Men,Soccer,Mercurial Superfly,M,2.0,6110.030000000001,0.0,0.0,26-02-2025,Online,Delhi,880.62
2237,Kids,Training,Metcon 7,M,2.0,5089.88,0.0,0.0,2025/06/26,Online,Mumbai,-238.18
2238,Kids,Training,SuperRep Go,Unknown,3.0,4348.86,0.0,0.0,2025/06/26,Online,Delhi,662.02
2239,Men,Training,SuperRep Go,XL,2.0,6110.030000000001,0.0,0.0,2024/08/04,Online,Kolkata,1750.71
2240,Kids,Basketball,Air Jordan,M,2.0,9520.5,0.48,0.0,2025/01/22,Retail,Kolkata,-928.85
2241,Women,Soccer,Tiempo Legend,12,2.0,9662.04,0.0,0.0,2025/02/19,Online,hyderbad,-233.74
2243,Men,Lifestyle,Blazer Mid,L,2.0,9747.58,0.0,0.0,07-11-2024,Retail,Delhi,266.31
2244,Kids,Training,Metcon 7,L,2.0,6110.030000000001,0.0,0.0,07-11-2024,Online,Delhi,1904.11
2245,Kids,Running,React Infinity,Unknown,2.0,4128.35,0.0,0.0,16-04-2025,Online,Pune,-290.33
2247,Women,Training,Metcon 7,Unknown,2.0,6110.030000000001,0.0,0.0,16-08-2024,Online,Mumbai,-1158.15
2248,Men,Training,Metcon 7,M,4.0,8249.96,0.24,25079.88,2024-01-16,Online,bengaluru,1625.14
2249,Men,Training,Flex Trainer,M,2.0,7730.77,0.0,0.0,2024-05-28,Online,Delhi,-692.94
2250,Men,Basketball,Kyrie Flytrap,XL,2.0,6110.030000000001,0.0,0.0,2024-10-01,Retail,Pune,821.13
2046,Men,Basketball,Air Jordan,Unknown,2.0,9593.65,0.0,0.0,11-01-2025,Online,hyderbad,1592.5
2252,Women,Running,Free RN,L,2.0,6110.030000000001,0.0,0.0,11-01-2025,Retail,Delhi,934.87
2254,Women,Basketball,LeBron 20,M,2.0,6110.030000000001,0.89,0.0,24-04-2025,Online,Hyd,1642.0
2255,Kids,Basketball,LeBron 20,XL,2.0,2222.55,0.84,0.0,2025/04/06,Retail,Mumbai,586.56
2256,Men,Soccer,Phantom GT,Unknown,2.0,6110.030000000001,0.0,0.0,2025/03/30,Online,hyderbad,3175.83
2257,Men,Basketball,Kyrie Flytrap,XL,1.0,6110.030000000001,0.0,0.0,2025/02/09,Online,Mumbai,-365.42
2258,Women,Lifestyle,Dunk Low,L,2.0,6110.030000000001,0.39,0.0,2023-11-21,Online,Mumbai,2824.7
2259,Women,Soccer,Mercurial Superfly,M,2.0,6110.030000000001,0.0,0.0,2024/10/20,Retail,Delhi,2323.89
2260,Women,Lifestyle,Dunk Low,M,2.0,6110.030000000001,0.0,0.0,2024/12/12,Retail,Pune,-352.18
2261,Women,Training,ZoomX Invincible,Unknown,2.0,2503.6,0.54,0.0,04-10-2024,Retail,Pune,1574.74
2264,Men,Training,ZoomX Invincible,Unknown,4.0,5622.32,1.08,-1799.14,2024-04-22,Retail,bengaluru,1248.25
2265,Women,Soccer,Premier III,7,2.0,2422.97,0.0,0.0,2024/11/23,Retail,Delhi,-67.74
2266,Women,Basketball,LeBron 20,L,2.0,6110.030000000001,0.0,0.0,19-07-2025,Retail,Kolkata,3475.59
2268,Men,Soccer,Mercurial Superfly,M,3.0,7330.81,0.0,0.0,2023-11-16,Online,Kolkata,518.71
2269,Women,Training,ZoomX Invincible,11,4.0,6424.32,0.0,0.0,2024-07-14,Retail,Mumbai,-405.26
2270,Men,Running,React Infinity,XL,1.0,6110.030000000001,1.03,0.0,06-06-2025,Retail,Pune,3088.25
2271,Kids,Lifestyle,Waffle One,9,2.0,5116.58,0.07,0.0,2024-05-03,Retail,Delhi,1293.94
2038,Women,Training,ZoomX Invincible,XL,1.0,7338.57,0.0,0.0,21-10-2024,Retail,Delhi,3680.24
2274,Women,Training,Metcon 7,6,4.0,6110.030000000001,0.45,0.0,2025/06/13,Online,bengaluru,2561.89
2277,Kids,Basketball,LeBron 20,M,2.0,3682.84,0.0,0.0,2024/12/28,Online,hyderbad,3967.77
2278,Men,Training,SuperRep Go,11,2.0,6110.030000000001,1.22,0.0,07-03-2025,Retail,Pune,3638.15
2279,Women,Lifestyle,Blazer Mid,6,2.0,6110.030000000001,0.0,0.0,2024-08-03,Retail,Mumbai,766.72
2281,Kids,Lifestyle,Waffle One,M,2.0,6110.030000000001,0.0,0.0,2025-07-13,Retail,Kolkata,1753.48
2282,Men,Running,Free RN,Unknown,2.0,6110.030000000001,0.26,0.0,14-11-2024,Retail,Mumbai,-1002.46
2283,Men,Soccer,Mercurial Superfly,10,1.0,6110.030000000001,0.0,0.0,2024/08/21,Retail,Delhi,468.59
2284,Kids,Soccer,Mercurial Superfly,M,2.0,6110.030000000001,0.53,0.0,08-10-2024,Online,Kolkata,1370.01
2286,Women,Lifestyle,Waffle One,Unknown,2.0,6110.030000000001,0.0,0.0,2024-10-16,Online,Bangalore,2419.09
2287,Women,Running,React Infinity,9,3.0,6110.030000000001,0.0,0.0,2024-10-16,Online,Mumbai,-650.68
2288,Women,Training,ZoomX Invincible,Unknown,2.0,6110.030000000001,0.25,0.0,24-08-2024,Retail,Hyderabad,1570.91
2289,Women,Running,Air Zoom,L,2.0,6110.030000000001,0.51,0.0,24-08-2024,Retail,Mumbai,3161.45
2290,Women,Training,Flex Trainer,L,2.0,6110.030000000001,0.0,0.0,20-10-2024,Online,Kolkata,546.66
